state,seats,up,notUp,contested,notContested,lat,lng
Alabama,9,2,7,1,1,32.3182,-86.9023
Arkansas,7,3,4,2,1,34.7574,-92.5863
Georgia,9,3,6,1,2,32.7407,-83.5
Idaho,5,2,3,0,2,43.4682,-114.342
Illinois,7,2,5,2,0,40.2331,-89.2985
Kentucky,7,4,3,3,1,37.7393,-84.27
Louisiana,7,1,6,0,1,30.9843,-92.15
Michigan,7,2,5,2,0,44.3148,-85.6024
Minnesota,7,2,5,0,2,46.0296,-94.6859
Montana,7,2,5,2,0,46.8797,-109.6626
Nevada,7,2,5,0,2,39.5026,-116.9194
New Mexico,5,2,3,2,0,34.5199,-106.0701
North Carolina,7,2,5,2,0,35.5596,-79.0193
North Dakota,5,1,4,0,1,47.4515,-100.502
Ohio,7,3,4,3,0,40.1173,-82.9071
Oregon,7,1,6,0,1,43.8041,-120.5542
Texas,18,6,12,5,1,31.3686,-98.9018
Washington,9,3,6,0,3,47.3511,-120.0401
TOTAL,137,43,94,25,18,,